203573912	44	-79	-4174	35	-21	-5	1120	-1431	2616
204371816	52	-89	-4177	35	-23	-3	1146	-1392	2599
205173272	50	-76	-4175	34	-23	-5	1111	-1463	2604
205967656	47	-86	-4164	22	7	1	1144	-1439	2615
206750232	35	-61	-4156	-20	11	1	1118	-1438	2613
207539240	64	-63	-4181	-19	14	-3	1104	-1375	2620
208330072	64	-80	-4159	-19	20	-3	1127	-1444	2592
209117416	39	-69	-4163	-14	14	-10	1109	-1448	2614
209919864	69	-83	-4182	-10	11	-9	1113	-1414	2593
210717768	47	-55	-4151	-16	-1	-5	1139	-1414	2607
211513016	59	-89	-4167	-12	-2	-7	1115	-1422	2607
212308136	46	-67	-4184	-13	5	-7	1083	-1475	2591
213097912	42	-90	-4175	-8	9	-3	1129	-1376	2614
213879624	62	-62	-4157	-11	3	-4	1113	-1438	2603
214672856	36	-69	-4165	-13	7	-1	1077	-1423	2600
215459016	59	-86	-4165	-4	-1	-7	1083	-1435	2618
216246072	70	-81	-4173	1	1	0	1122	-1371	2603
217009800	64	-66	-4178	-3	5	1	1103	-1443	2614
217775608	44	-77	-4190	-2	-1	1	1134	-1428	2608
218553704	42	-83	-4168	-4	2	1	1108	-1444	2607
219326424	63	-75	-4155	-4	0	1	1121	-1425	2604
220102632	32	-57	-4168	-12	0	1	1115	-1429	2598
220883576	62	-65	-4184	-8	1	3	1102	-1434	2606
221656424	38	-67	-4173	-13	9	1	1091	-1411	2596
222444248	66	-100	-4186	-12	12	5	1122	-1410	2606
223237576	54	-82	-4171	-17	7	3	1115	-1436	2616
224028920	51	-83	-4173	-18	6	9	1101	-1450	2603
224802696	39	-93	-4203	-16	17	5	1122	-1417	2614
225595128	56	-93	-4193	-20	28	-10	1083	-1441	2595
226397384	49	-90	-4166	-24	41	-29	1116	-1430	2612
227203160	98	-159	-4227	-19	48	-44	1064	-1450	2604
228006504	107	-83	-4163	-30	78	-157	1088	-1434	2615
228814520	51	-111	-4244	4	82	-132	1136	-1427	2616
229626504	75	-296	-4131	26	94	-185	1127	-1406	2615
230443064	27	52	-4233	5	101	-144	1096	-1417	2623
231239240	85	-108	-4361	45	32	-112	1103	-1446	2618
232052248	-61	-167	-4023	20	-22	-57	1116	-1407	2619
232864584	190	62	-4317	52	-6	-58	1120	-1419	2621
233664952	20	22	-4166	130	-43	-34	1137	-1385	2615
234473384	161	-46	-4117	40	-31	-36	1115	-1379	2630
235287224	82	-106	-4092	35	-28	-13	1075	-1447	2606
236094088	-84	-191	-3986	-48	-29	37	1111	-1379	2620
236909944	44	4	-4002	-26	4	26	1106	-1397	2619
237681864	222	3	-4201	-7	71	-18	1099	-1438	2621
238474232	30	-123	-4294	-7	54	-18	1106	-1413	2631
239280040	57	-76	-4332	-79	10	-42	1130	-1390	2607
