493465914	-19	-65	-4177	39	-24	6	269	-1706	2514
494259178	-21	-61	-4182	39	-27	-1	294	-1744	2508
495057850	0	-60	-4181	35	-27	-6	262	-1728	2512
495832490	11	-75	-4185	10	8	-6	281	-1741	2528
496608698	-7	-50	-4182	-26	-1	4	286	-1710	2513
497384202	-14	-62	-4159	-11	0	6	291	-1725	2497
498165850	-5	-69	-4175	-20	-4	8	282	-1748	2512
498944810	-15	-66	-4194	-1	2	10	297	-1784	2506
499722906	-7	-76	-4182	-29	5	5	289	-1790	2498
500496490	-4	-50	-4170	-4	10	6	306	-1683	2511
501252666	2	-71	-4189	-24	-3	1	265	-1715	2515
502029962	-17	-64	-4174	-9	2	-11	293	-1716	2530
502813754	-5	-51	-4191	-22	12	4	302	-1764	2502
503592074	4	-73	-4191	-10	5	2	257	-1737	2517
504356890	12	-74	-4183	-16	6	6	285	-1742	2514
505133290	1	-65	-4184	-11	0	6	255	-1705	2500
505887482	-12	-65	-4188	-11	4	4	322	-1748	2499
506672842	-28	-66	-4157	-14	4	-6	280	-1725	2512
507460058	-3	-50	-4166	-6	-3	-6	277	-1722	2518
508229546	4	-54	-4158	-3	9	-7	288	-1741	2501
508995258	-13	-44	-4170	-4	-1	4	262	-1691	2495
509774410	-1	-49	-4183	-2	0	3	295	-1748	2509
510533018	-15	-44	-4165	-18	-2	-3	283	-1777	2508
511322122	-24	-54	-4162	-5	6	0	283	-1719	2522
512099226	3	-58	-4196	-13	-3	1	313	-1738	2507
512872938	22	-73	-4196	-9	5	3	326	-1749	2510
513644634	15	-64	-4197	-25	2	2	212	-1709	2517
514424426	-6	-57	-4185	-6	-1	1	277	-1773	2505
515198906	-11	-77	-4187	-20	0	0	298	-1751	2513
515973450	-1	-49	-4170	-10	5	-4	257	-1712	2508
516745338	-17	-65	-4197	-23	-8	1	288	-1712	2504
517535946	3	-72	-4201	-23	8	-6	299	-1731	2512
518313082	-29	-60	-4178	-6	8	-1	287	-1742	2504
519088554	-8	-37	-4165	-16	-5	-1	303	-1719	2520
519869530	7	-65	-4196	-9	6	0	290	-1766	2516
520626058	-23	-57	-4179	-22	4	6	322	-1737	2516
521407866	-5	-66	-4188	-3	9	2	307	-1768	2516
522173482	7	-69	-4195	-18	2	2	322	-1733	2505
522945210	0	-47	-4186	-6	3	7	294	-1760	2502
523698218	9	-65	-4180	-22	2	4	293	-1740	2493
524466362	9	-60	-4170	-2	1	4	294	-1755	2497
525226442	0	-67	-4184	-27	-1	6	291	-1741	2523
526003546	16	-49	-4160	-12	6	6	292	-1770	2497
526772874	-2	-49	-4210	-20	-4	3	317	-1762	2500
527544762	-1	-60	-4177	-20	1	2	300	-1728	2523
528311242	-35	-56	-4163	-10	1	4	278	-1725	2507
529092890	-8	-68	-4189	-20	0	4	296	-1722	2523
529859466	0	-56	-4189	-9	5	-6	279	-1757	2505
530624986	-8	-56	-4172	-27	1	-4	320	-1794	2501
531400586	17	-73	-4177	-9	8	-1	286	-1750	2494
532170746	4	-67	-4168	-21	-5	2	255	-1746	2505
532944394	15	-48	-4189	-13	2	0	264	-1722	2514
533724154	8	-72	-4182	-17	0	2	328	-1718	2504
534492330	-6	-57	-4168	-3	9	-1	306	-1743	2516
535263258	12	-74	-4184	-18	2	5	288	-1731	2510
536043018	2	-67	-4170	-11	11	1	256	-1765	2506
536812314	-11	-65	-4194	-15	-4	3	308	-1746	2510
537599370	-32	-57	-4163	-14	3	2	290	-1729	2492
538380986	-5	-53	-4188	-17	-7	-1	262	-1748	2521
539168970	8	-79	-4176	-17	7	0	297	-1720	2509
539930042	-3	-59	-4179	-20	7	0	248	-1755	2511
540696586	2	-64	-4184	-16	-4	4	281	-1775	2501
541470330	3	-61	-4173	-6	4	1	344	-1769	2496
542230474	0	-64	-4174	-11	6	-1	291	-1770	2508
542997018	-4	-65	-4180	-12	2	-1	278	-1733	2498
543776010	-11	-65	-4161	-12	-3	8	284	-1756	2504
544559546	-13	-50	-4166	-15	6	7	280	-1731	2516
545341162	-10	-70	-4180	-12	1	9	294	-1750	2513
546115674	8	-62	-4176	-26	7	1	286	-1733	2511
546890922	25	-58	-4180	-14	5	-3	295	-1787	2499
547672602	2	-83	-4188	-29	-7	-4	294	-1791	2520
548451594	-1	-60	-4184	-6	5	-1	316	-1736	2511
549226042	-7	-67	-4170	-17	1	4	329	-1704	2500
549989034	-9	-67	-4180	-17	2	-2	274	-1761	2524
550768026	2	-88	-4195	-6	2	5	319	-1745	2499
